Ro	Time	E_SvFs	E
0.98	2.808	0.520070244236	0.520070244236
1.0	2.808	0.501442626272	0.501442626272
0.0	2.809	0.769434057071	0.769434057071
0.02	2.809	0.775170000429	0.775170000429
0.04	2.809	0.776049534573	0.776049534573
0.06	2.809	0.779498216561	0.779498216561
0.08	2.809	0.782237867465	0.782237867465
0.1	2.809	0.785405067246	0.785405067246
0.12	2.809	0.788372117996	0.788372117996
0.14	2.809	0.79170346826	0.79170346826
0.16	2.809	0.794263950024	0.794263950024
0.18	2.809	0.799140000447	0.799140000447
0.2	2.809	0.79887263163	0.79887263163
0.22	2.809	0.800860036685	0.800860036685
0.24	2.809	0.801966544826	0.801966544826
0.26	2.809	0.803212931019	0.803212931019
0.28	2.809	0.804087341557	0.804087341557
0.3	2.809	0.804656267187	0.804656267187
0.32	2.809	0.804838630294	0.804838630294
0.34	2.809	0.804610838846	0.804610838846
0.36	2.809	0.803943099951	0.803943099951
0.38	2.809	0.802809434079	0.802809434079
0.4	2.809	0.801186140122	0.801186140122
0.42	2.809	0.799049505861	0.799049505861
0.44	2.809	0.796377559556	0.796377559556
0.46	2.809	0.793148100272	0.793148100272
0.48	2.809	0.789342000475	0.789342000475
0.5	2.809	0.784937456211	0.784937456211
0.52	2.809	0.779923644618	0.779923644618
0.54	2.809	0.774272129302	0.774272129302
0.56	2.809	0.768003706191	0.768003706191
0.58	2.809	0.761040295672	0.761040295672
0.6	2.809	0.753552014307	0.753552014307
0.62	2.809	0.745154948008	0.745154948008
0.64	2.809	0.73686731661	0.73686731661
0.66	2.809	0.726331288944	0.726331288944
0.68	2.809	0.720100000158	0.720100000158
0.7	2.809	0.705717132261	0.705717132261
0.72	2.809	0.695686509583	0.695686509583
0.74	2.809	0.683500938796	0.683500938796
0.76	2.809	0.671573821516	0.671573821516
0.78	2.809	0.658931587204	0.658931587204
0.8	2.809	0.646042747581	0.646042747581
0.82	2.809	0.632766803247	0.632766803247
0.84	2.809	0.619358883624	0.619358883624
0.86	2.809	0.60575142215	0.60575142215
0.88	2.809	0.59236146813	0.59236146813
0.9	2.809	0.579034174874	0.579034174874
0.92	2.809	0.565911819593	0.565911819593
0.94	2.809	0.550188180308	0.550188180308
0.96	2.809	0.531740085187	0.531740085187
0.98	2.809	0.513920157542	0.513920157542
1.0	2.809	0.495687783853	0.495687783853
0.0	2.81	0.768741160743	0.768741160743
0.02	2.81	0.777629999283	0.777629999283
0.04	2.81	0.775356042019	0.775356042019
0.06	2.81	0.779034000726	0.779034000726
0.08	2.81	0.781644095958	0.781644095958
0.1	2.81	0.784859476617	0.784859476617
0.12	2.81	0.787774356488	0.787774356488
0.14	2.81	0.791236703415	0.791236703415
0.16	2.81	0.793559332245	0.793559332245
0.18	2.81	0.801679999255	0.801679999255
0.2	2.81	0.798256414985	0.798256414985
0.22	2.81	0.800570910228	0.800570910228
0.24	2.81	0.801646959638	0.801646959638
0.26	2.81	0.803036695395	0.803036695395
0.28	2.81	0.804001514664	0.804001514664
0.3	2.81	0.804667942149	0.804667942149
0.32	2.81	0.8049322365	0.8049322365
0.34	2.81	0.804782061507	0.804782061507
0.36	2.81	0.804186017891	0.804186017891
0.38	2.81	0.803121569825	0.803121569825
0.4	2.81	0.801566061821	0.801566061821
0.42	2.81	0.799497692304	0.799497692304
0.44	2.81	0.79689589862	0.79689589862
0.46	2.81	0.793740353415	0.793740353415
0.48	2.81	0.79001346377	0.79001346377
0.5	2.81	0.785696266186	0.785696266186
0.52	2.81	0.780779033276	0.780779033276
0.54	2.81	0.775239539445	0.775239539445
0.56	2.81	0.769095719791	0.769095719791
0.58	2.81	0.762287594923	0.762287594923
0.6	2.81	0.754964028206	0.754964028206
0.62	2.81	0.746796559935	0.746796559935
0.64	2.81	0.738736966396	0.738736966396
