Ro	Time	T_SvFs	T
0.19	2.828	3.97933999659	3.97934
0.28	2.828	3.45452000085	3.45452
0.36	2.828	2.98117999852	2.98118
0.43	2.828	2.47999000258	2.47999
0.58	2.828	1.87084999667	1.87085
0.64	2.828	1.54476000326	1.54476
0.7	2.828	1.36549999669	1.3655
1.0	2.828	5.24509324862e-11	0.0
0.02	2.829	4.20594000085	4.20594
0.19	2.829	3.9587100025	3.95871
0.28	2.829	3.45342999906	3.45343
0.36	2.829	2.97319999922	2.9732
0.43	2.829	2.47632000239	2.47632
0.58	2.829	1.87084999916	1.87085
0.64	2.829	1.5514400023	1.55144
0.7	2.829	1.37316999817	1.37317
1.0	2.829	1.99423144664e-10	0.0
0.02	2.83	4.19291000005	4.19291
0.19	2.83	3.94425999988	3.94426
0.28	2.83	3.44623000037	3.44623
0.36	2.83	2.96663999919	2.96664
0.43	2.83	2.47815000044	2.47815
0.58	2.83	1.87599999786	1.876
0.64	2.83	1.5557400025	1.55574
0.7	2.83	1.3775799992	1.37758
1.0	2.83	2.10159001313e-10	0.0
